# {"t_start": 1574979765.983704} 
r,l,t
228.89508,201,71.045171
175.43094,201,71.045198
226.76134,201,71.045223
211.9047,201,71.045248
176.53375,201,71.045274
177.73065,201,71.045299
215.98535,201,71.045323
220.25378,201,71.045348
228.69238,201,71.045373
239.23074,201,71.538764
222.92749,201,71.538853
226.37537,201,71.538893
227.60373,201,71.538925
205.8893,201,71.538955
223.4847,201,71.538984
211.50706,201,71.539012
211.84541,201,71.53904
209.91296,201,71.539067
209.96136,201,71.539095
221.6128,201,71.539121
226.9204,201,71.539148
230.22812,201,72.030345
225.02472,201,72.030435
214.2196,201,72.030474
200.50569,201,72.030503
227.7467,201,72.03053
